"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Total population","18,250","*****","9,322","±84","8,928","±84","69,136","*****","34,593","±300","34,543","±300","117,762","*****","55,928","±107","61,834","±107","20,103","*****","9,566","±82","10,537","±82","22,070","*****","10,893","±166","11,177","±166","43,038","*****","20,133","±128","22,905","±128","25,277","*****","12,515","±183","12,762","±183","60,268","*****","29,997","±200","30,271","±200","27,988","*****","13,741","±161","14,247","±161","32,814","*****","16,126","±112","16,688","±112","14,745","*****","7,369","±163","7,376","±163","16,297","*****","7,947","±80","8,350","±80","26,003","*****","12,416","±186","13,587","±186","10,491","*****","5,022","±91","5,469","±91","27,141","*****","13,527","±199","13,614","±199"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.4%","±0.5","7.1%","±0.9","5.7%","±0.6","7.9%","±0.3","8.8%","±0.5","7.0%","±0.4","6.0%","±0.1","6.4%","±0.1","5.7%","±0.1","6.3%","±0.2","6.1%","±0.3","6.4%","±0.4","5.8%","±0.2","5.9%","±0.5","5.7%","±0.4","6.3%","±0.1","6.8%","±0.2","5.8%","±0.2","6.4%","±0.3","6.7%","±0.8","6.0%","±1.0","7.2%","±0.1","7.4%","±0.4","7.1%","±0.4","6.8%","±0.5","6.1%","±0.8","7.5%","±1.1","5.9%","±0.3","5.9%","±0.5","6.0%","±0.5","5.4%","±0.8","5.3%","±1.2","5.5%","±1.2","5.2%","±0.5","4.7%","±0.5","5.6%","±1.3","6.2%","±0.6","6.2%","±0.6","6.3%","±1.3","3.8%","±0.7","4.9%","±1.4","2.9%","±0.1","5.5%","±0.3","5.9%","±0.5","5.1%","±0.4"
"    5 to 9 years","6.8%","±1.0","7.6%","±1.1","6.0%","±1.3","8.7%","±0.6","9.3%","±0.8","8.1%","±0.9","4.9%","±0.3","5.4%","±0.5","4.3%","±0.4","6.1%","±1.0","5.9%","±1.5","6.4%","±1.4","6.3%","±0.9","7.4%","±1.5","5.1%","±1.3","6.7%","±0.5","7.4%","±0.7","6.2%","±0.9","6.5%","±0.9","6.5%","±1.4","6.6%","±1.1","6.8%","±0.7","6.8%","±1.1","6.7%","±0.8","6.5%","±0.7","8.3%","±1.1","4.8%","±1.3","7.8%","±0.7","7.0%","±1.2","8.5%","±0.9","5.7%","±1.3","6.1%","±1.4","5.2%","±1.8","4.7%","±1.0","5.9%","±1.4","3.6%","±1.1","6.0%","±1.1","6.9%","±1.7","5.1%","±1.2","4.6%","±1.0","5.8%","±1.5","3.5%","±1.4","5.6%","±0.9","6.2%","±1.3","5.1%","±1.3"
"    10 to 14 years","7.6%","±1.0","7.5%","±1.2","7.7%","±1.3","7.5%","±0.7","7.8%","±0.9","7.2%","±1.0","4.2%","±0.3","4.4%","±0.5","4.0%","±0.4","6.5%","±1.0","7.6%","±1.4","5.5%","±1.4","6.5%","±1.0","6.1%","±1.4","7.0%","±1.9","6.5%","±0.6","6.3%","±0.8","6.7%","±1.1","5.4%","±0.8","5.7%","±1.4","5.1%","±0.9","8.1%","±0.7","8.4%","±1.1","7.8%","±0.8","6.9%","±0.7","6.0%","±1.1","7.8%","±1.2","8.6%","±0.8","10.8%","±1.3","6.5%","±0.9","7.4%","±1.6","7.8%","±2.5","7.0%","±1.9","6.6%","±1.0","6.7%","±1.4","6.5%","±1.2","7.3%","±1.1","7.2%","±1.4","7.3%","±1.4","3.9%","±1.0","3.5%","±1.3","4.4%","±1.4","6.9%","±0.9","6.9%","±1.1","6.8%","±1.4"
"    15 to 19 years","7.1%","±0.4","7.3%","±0.5","6.9%","±0.6","6.5%","±0.4","7.1%","±0.8","6.0%","±0.6","13.1%","±0.7","12.0%","±1.1","14.1%","±0.8","6.7%","±0.4","7.1%","±0.7","6.4%","±0.9","7.0%","±0.7","7.6%","±1.0","6.4%","±0.5","7.0%","±0.3","7.2%","±0.4","6.8%","±0.6","6.5%","±0.4","7.3%","±0.7","5.8%","±0.8","7.0%","±0.3","7.7%","±0.6","6.2%","±0.4","6.8%","±0.3","7.1%","±0.5","6.6%","±0.5","8.1%","±0.3","9.0%","±0.5","7.3%","±0.3","7.7%","±1.1","7.6%","±1.4","7.7%","±1.5","6.0%","±0.4","5.8%","±0.2","6.2%","±0.8","7.6%","±0.5","7.2%","±0.6","8.0%","±0.9","8.5%","±1.5","9.3%","±2.7","7.8%","±2.2","5.8%","±0.5","6.8%","±0.3","4.8%","±0.9"
"    20 to 24 years","5.7%","±0.3","5.9%","±0.5","5.4%","±0.3","5.7%","±0.3","5.9%","±0.5","5.6%","±0.4","19.9%","±0.7","19.4%","±1.1","20.3%","±0.8","6.8%","±0.6","7.6%","±1.0","6.0%","±0.8","6.8%","±0.7","6.7%","±0.8","6.8%","±0.7","6.5%","±0.3","6.2%","±0.2","6.7%","±0.6","5.8%","±0.5","6.2%","±0.6","5.3%","±0.7","5.4%","±0.2","5.8%","±0.4","5.0%","±0.2","5.4%","±0.3","5.3%","±0.5","5.6%","±0.4","5.2%","±0.5","4.6%","±0.3","5.7%","±0.9","5.8%","±1.1","7.1%","±1.1","4.5%","±2.1","4.9%","±0.7","5.6%","±0.9","4.2%","±0.5","6.1%","±0.5","6.7%","±0.6","5.5%","±0.9","5.0%","±1.4","3.9%","±2.3","5.9%","±1.6","6.3%","±0.4","5.6%","±0.2","7.0%","±0.8"
"    25 to 29 years","5.1%","±0.2","5.1%","±0.5","5.2%","±0.3","7.8%","±0.3","7.4%","±0.5","8.1%","±0.5","9.6%","±0.1","10.3%","±0.1","8.9%","±0.1","4.6%","±0.6","4.4%","±0.5","4.8%","±0.9","5.2%","±0.4","5.5%","±0.8","4.9%","±0.3","6.0%","±0.4","6.2%","±0.5","5.8%","±0.5","5.2%","±0.6","5.2%","±0.7","5.1%","±0.7","6.0%","±0.2","5.6%","±0.3","6.4%","±0.4","6.2%","±0.4","6.5%","±0.9","5.8%","±0.6","3.9%","±0.3","3.9%","±0.4","4.0%","±0.4","4.9%","±0.3","4.7%","±0.5","5.2%","±0.6","5.3%","±0.8","5.9%","±1.3","4.7%","±1.0","5.4%","±0.3","5.6%","±0.6","5.1%","±0.3","3.5%","±0.3","3.3%","±0.1","3.7%","±0.7","4.8%","±0.5","5.0%","±0.8","4.7%","±0.3"
"    30 to 34 years","6.4%","±0.6","6.0%","±0.6","6.8%","±0.7","7.7%","±0.2","7.7%","±0.3","7.8%","±0.2","7.1%","±0.1","7.7%","±0.1","6.5%","±0.1","5.6%","±0.7","5.5%","±1.3","5.7%","±0.4","5.3%","±0.4","5.1%","±0.6","5.5%","±0.6","6.0%","±0.3","5.7%","±0.5","6.4%","±0.3","5.6%","±0.5","6.3%","±1.1","4.9%","±0.2","6.9%","±0.3","6.9%","±0.5","7.0%","±0.5","6.5%","±0.5","6.5%","±1.0","6.4%","±0.5","4.8%","±0.3","4.6%","±0.3","5.1%","±0.4","6.2%","±1.0","5.3%","±0.8","7.0%","±1.6","5.4%","±1.0","5.7%","±1.1","5.2%","±1.2","4.6%","±0.3","4.7%","±0.4","4.5%","±0.3","3.8%","±0.3","3.8%","±0.4","3.8%","±0.3","5.0%","±0.2","5.1%","±0.3","4.9%","±0.1"
"    35 to 39 years","7.1%","±0.9","6.7%","±1.2","7.4%","±1.3","7.3%","±0.6","7.1%","±0.8","7.5%","±0.8","5.5%","±0.4","5.7%","±0.5","5.2%","±0.5","6.1%","±1.1","7.3%","±1.7","5.1%","±1.2","7.2%","±1.1","8.5%","±1.5","5.9%","±1.3","6.7%","±0.7","6.4%","±0.8","6.8%","±0.9","5.0%","±0.9","5.8%","±1.2","4.2%","±1.2","6.8%","±0.7","7.4%","±0.9","6.2%","±0.8","6.4%","±1.1","6.4%","±1.4","6.4%","±1.4","7.5%","±0.9","7.4%","±1.0","7.6%","±1.1","5.4%","±1.3","5.5%","±1.7","5.4%","±1.7","5.4%","±0.9","4.3%","±1.3","6.4%","±1.2","6.0%","±0.9","6.2%","±1.4","5.7%","±1.3","5.2%","±1.3","4.8%","±1.8","5.6%","±1.3","6.4%","±1.0","7.4%","±1.8","5.3%","±1.5"
