"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    40 to 44 years","7.5%","±1.0","7.4%","±1.3","7.6%","±1.5","8.4%","±0.7","8.6%","±0.9","8.3%","±1.0","4.7%","±0.4","5.3%","±0.5","4.2%","±0.5","7.2%","±0.9","6.8%","±1.7","7.5%","±1.1","5.6%","±1.0","4.8%","±1.3","6.3%","±1.3","6.7%","±0.9","7.4%","±1.3","6.2%","±0.9","7.9%","±1.0","8.4%","±1.4","7.4%","±1.3","7.4%","±0.6","6.9%","±0.8","7.9%","±0.9","7.3%","±0.8","7.2%","±1.2","7.3%","±1.3","8.7%","±0.9","8.5%","±1.1","9.0%","±1.2","7.7%","±1.3","8.7%","±1.8","6.6%","±2.0","7.0%","±1.1","8.3%","±1.5","5.7%","±1.4","6.2%","±0.9","6.8%","±1.4","5.6%","±1.4","5.1%","±1.3","7.2%","±1.6","3.5%","±1.6","7.3%","±1.4","6.3%","±2.0","8.2%","±1.5"
"    45 to 49 years","7.3%","±0.4","7.2%","±0.4","7.4%","±0.7","6.8%","±0.2","6.9%","±0.3","6.8%","±0.3","4.4%","±0.1","4.5%","±0.1","4.2%","±0.2","7.3%","±0.5","7.4%","±1.0","7.1%","±0.1","6.8%","±0.3","7.0%","±0.3","6.6%","±0.5","5.3%","±1.7","3.8%","±3.5","6.6%","±0.6","7.2%","±0.9","7.2%","±1.0","7.3%","±1.0","7.4%","±0.4","7.5%","±0.5","7.3%","±0.5","7.9%","±0.4","8.4%","±0.5","7.4%","±0.4","8.8%","±0.4","8.0%","±0.7","9.5%","±0.5","8.7%","±0.9","7.8%","±1.5","9.6%","±2.5","6.8%","±0.4","6.5%","±0.3","7.1%","±0.8","7.1%","±0.4","7.0%","±0.6","7.3%","±0.4","5.3%","±1.8","4.8%","±3.9","5.8%","±0.3","8.1%","±0.6","8.0%","±0.8","8.2%","±0.9"
"    50 to 54 years","7.3%","±0.5","7.0%","±0.2","7.6%","±1.0","6.2%","±0.3","6.3%","±0.4","6.1%","±0.3","4.5%","±0.1","4.5%","±0.1","4.6%","±0.1","7.0%","±0.1","7.2%","±0.2","6.8%","±0.1","7.1%","±0.4","7.1%","±0.4","7.1%","±0.5","5.7%","±2.1","4.8%","±4.3","6.5%","±0.6","7.3%","±0.3","7.3%","±0.7","7.3%","±0.2","6.9%","±0.3","7.3%","±0.6","6.6%","±0.3","7.9%","±0.5","8.5%","±1.1","7.3%","±0.1","8.2%","±0.7","8.1%","±0.9","8.3%","±0.6","8.2%","±0.7","9.4%","±1.4","6.9%","±1.0","7.5%","±0.9","7.5%","±0.9","7.6%","±0.8","7.3%","±0.4","7.4%","±0.6","7.2%","±0.4","4.6%","±1.3","2.8%","±2.5","6.0%","±0.7","7.1%","±0.2","7.3%","±0.5","6.9%","±0.2"
"    55 to 59 years","6.5%","±1.3","6.5%","±1.6","6.6%","±1.6","4.7%","±0.5","4.7%","±0.6","4.7%","±0.6","4.1%","±0.3","4.1%","±0.4","4.1%","±0.3","5.7%","±0.8","5.7%","±1.2","5.6%","±0.9","6.2%","±0.9","5.8%","±1.1","6.6%","±1.3","6.7%","±0.7","7.8%","±1.3","5.8%","±0.9","5.8%","±0.7","5.6%","±1.1","6.0%","±1.1","6.0%","±0.5","6.3%","±0.7","5.6%","±0.7","7.1%","±0.6","6.5%","±0.9","7.7%","±0.9","7.1%","±0.6","7.4%","±0.9","6.7%","±0.7","5.5%","±1.2","5.4%","±1.4","5.7%","±1.7","7.7%","±1.0","7.1%","±1.5","8.4%","±1.3","6.2%","±0.9","5.5%","±1.4","6.9%","±1.0","5.8%","±1.3","5.4%","±1.9","6.1%","±1.6","7.2%","±1.0","5.7%","±1.3","8.6%","±1.7"
"    60 to 64 years","6.0%","±0.9","5.6%","±1.0","6.4%","±1.5","4.9%","±0.5","4.7%","±0.6","5.1%","±0.6","3.3%","±0.3","3.2%","±0.4","3.4%","±0.3","6.9%","±0.8","7.1%","±1.2","6.7%","±0.9","6.6%","±0.8","7.0%","±1.2","6.3%","±1.2","5.7%","±0.6","6.0%","±1.1","5.5%","±0.8","8.0%","±0.8","8.1%","±1.1","7.9%","±1.2","5.6%","±0.5","4.8%","±0.7","6.3%","±0.7","5.2%","±0.7","5.9%","±1.1","4.7%","±0.8","5.2%","±0.7","5.1%","±0.9","5.2%","±0.8","7.1%","±1.2","6.8%","±1.5","7.5%","±1.6","7.8%","±1.2","7.9%","±1.4","7.7%","±1.7","7.2%","±0.8","8.0%","±1.3","6.4%","±1.1","10.5%","±1.3","11.9%","±1.9","9.4%","±1.6","7.5%","±1.1","8.2%","±1.4","6.8%","±1.6"
"    65 to 69 years","4.4%","±0.6","3.9%","±0.8","4.9%","±0.9","3.0%","±0.3","2.7%","±0.4","3.2%","±0.4","2.6%","±0.2","2.4%","±0.2","2.7%","±0.3","4.8%","±0.7","4.3%","±0.8","5.2%","±0.9","5.0%","±0.7","4.9%","±0.8","5.1%","±0.9","4.4%","±0.5","4.5%","±0.7","4.3%","±0.7","6.0%","±0.6","5.6%","±0.8","6.5%","±0.9","4.3%","±0.3","4.3%","±0.4","4.3%","±0.5","4.7%","±0.5","5.1%","±0.7","4.3%","±0.7","3.3%","±0.5","3.1%","±0.8","3.6%","±0.6","4.4%","±0.8","4.7%","±1.0","4.1%","±1.1","6.1%","±0.9","5.4%","±1.3","6.8%","±1.1","5.1%","±0.7","4.7%","±0.9","5.5%","±1.0","8.6%","±1.1","9.4%","±1.9","8.0%","±1.5","5.3%","±0.8","5.2%","±1.1","5.3%","±1.1"
"    70 to 74 years","3.2%","±0.5","3.2%","±0.8","3.1%","±0.7","2.4%","±0.3","2.1%","±0.5","2.7%","±0.4","1.8%","±0.2","1.5%","±0.3","2.2%","±0.3","3.1%","±0.5","3.4%","±0.8","2.8%","±0.7","4.2%","±0.7","4.1%","±0.9","4.4%","±0.9","3.9%","±0.5","4.2%","±0.8","3.7%","±0.7","3.7%","±0.6","3.5%","±0.9","4.0%","±0.9","2.6%","±0.3","2.1%","±0.4","3.1%","±0.4","3.2%","±0.5","2.7%","±0.8","3.7%","±0.8","2.6%","±0.4","2.8%","±0.6","2.5%","±0.6","3.9%","±0.9","3.0%","±1.1","4.8%","±1.2","5.4%","±0.9","5.5%","±1.3","5.3%","±1.1","3.6%","±0.7","3.7%","±0.8","3.5%","±1.0","7.9%","±1.3","8.0%","±2.0","7.8%","±1.5","4.8%","±0.9","4.7%","±1.1","4.9%","±1.1"
"    75 to 79 years","1.4%","±0.4","1.3%","±0.5","1.4%","±0.6","1.8%","±0.3","1.6%","±0.3","2.1%","±0.4","1.7%","±0.2","1.3%","±0.2","2.0%","±0.3","3.5%","±0.7","3.8%","±0.9","3.2%","±0.9","3.5%","±0.7","2.8%","±0.8","4.2%","±1.0","2.9%","±0.5","2.7%","±0.6","3.1%","±0.7","3.3%","±0.6","3.3%","±0.8","3.3%","±0.8","1.9%","±0.3","1.8%","±0.4","2.1%","±0.4","2.1%","±0.3","2.1%","±0.4","2.1%","±0.5","1.8%","±0.4","1.4%","±0.4","2.1%","±0.6","2.6%","±0.6","1.9%","±0.9","3.3%","±0.7","3.7%","±0.6","3.3%","±1.0","4.1%","±1.1","2.6%","±0.5","2.7%","±0.8","2.5%","±0.8","4.7%","±0.9","4.7%","±1.2","4.7%","±1.2","2.6%","±0.6","2.6%","±0.7","2.7%","±0.8"
"    80 to 84 years","1.6%","±0.4","1.3%","±0.4","1.9%","±0.7","1.2%","±0.3","0.7%","±0.2","1.6%","±0.4","1.2%","±0.1","1.0%","±0.2","1.3%","±0.2","2.5%","±0.5","1.5%","±0.5","3.5%","±0.9","2.1%","±0.5","1.5%","±0.7","2.7%","±0.7","2.2%","±0.4","1.9%","±0.5","2.5%","±0.6","1.8%","±0.4","1.2%","±0.5","2.3%","±0.5","1.1%","±0.2","0.9%","±0.3","1.2%","±0.3","1.4%","±0.3","1.3%","±0.6","1.4%","±0.5","1.3%","±0.4","1.0%","±0.4","1.6%","±0.5","1.4%","±0.5","1.7%","±0.7","1.2%","±0.7","3.4%","±0.6","2.7%","±1.0","4.2%","±1.1","2.5%","±0.6","1.6%","±0.7","3.3%","±1.1","3.9%","±0.8","4.6%","±1.6","3.4%","±1.1","2.3%","±0.6","1.9%","±0.7","2.6%","±0.8"
"    85 years and over","1.6%","±0.5","1.0%","±0.5","2.3%","±0.7","0.7%","±0.3","0.3%","±0.2","1.0%","±0.5","1.1%","±0.2","0.6%","±0.2","1.5%","±0.2","2.1%","±0.6","1.0%","±0.5","3.2%","±1.0","1.7%","±0.4","1.1%","±0.5","2.4%","±0.8","1.4%","±0.3","1.4%","±0.5","1.3%","±0.4","2.2%","±0.6","1.2%","±0.7","3.2%","±0.8","1.2%","±0.2","0.5%","±0.2","2.0%","±0.4","1.5%","±0.4","0.5%","±0.3","2.5%","±0.6","1.1%","±0.4","0.7%","±0.4","1.5%","±0.5","0.9%","±0.5","0.4%","±0.3","1.4%","±1.0","1.4%","±0.5","1.0%","±0.5","1.7%","±0.7","2.2%","±0.5","1.2%","±0.8","3.1%","±1.0","3.2%","±0.8","2.1%","±1.0","4.0%","±1.2","1.7%","±0.5","1.3%","±0.6","2.0%","±0.7"
"SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    5 to 14 years","14.9%","±0.7","15.7%","±0.9","14.0%","±1.0","15.3%","±0.2","16.2%","±0.3","14.4%","±0.4","9.0%","±0.1","9.7%","±0.1","8.3%","±0.1","12.9%","±0.5","13.6%","±0.8","12.3%","±0.4","12.4%","±0.5","13.2%","±0.6","11.5%","±0.8","12.8%","±0.3","14.6%","±1.4","11.4%","±0.9","12.0%","±0.1","12.8%","±0.2","11.3%","±0.2","14.5%","±0.3","14.7%","±0.5","14.2%","±0.4","14.0%","±0.4","14.4%","±0.7","13.7%","±0.5","16.9%","±0.5","18.8%","±0.9","15.1%","±0.4","14.3%","±0.6","15.5%","±1.4","13.1%","±1.2","12.3%","±1.0","13.7%","±1.7","10.9%","±1.2","12.7%","±0.2","14.2%","±0.4","11.4%","±0.3","8.9%","±0.2","10.5%","±0.7","7.7%","±0.4","12.3%","±0.4","12.9%","±0.5","11.6%","±0.4"
"    15 to 17 years","4.5%","±0.3","4.7%","±0.5","4.3%","±0.5","4.4%","±0.2","4.5%","±0.5","4.3%","±0.4","2.7%","±0.1","2.7%","±0.2","2.6%","±0.2","4.6%","±0.3","4.7%","±0.4","4.4%","±0.4","4.5%","±0.4","4.9%","±0.9","4.1%","±0.7","4.2%","±0.2","4.7%","±0.5","3.9%","±0.5","4.1%","±0.1","4.4%","±0.4","3.7%","±0.4","4.7%","±0.3","5.3%","±0.8","4.0%","±0.3","4.6%","±0.2","4.5%","±0.3","4.7%","±0.3","5.9%","±0.3","6.2%","±0.6","5.5%","±0.5","4.4%","±0.7","4.6%","±1.1","4.1%","±0.6","3.6%","±0.3","3.9%","±0.5","3.4%","±0.2","4.1%","±0.1","3.9%","±0.3","4.3%","±0.2","2.9%","±0.1","1.4%","±0.9","4.0%","±0.7","4.0%","±0.2","4.2%","±0.3","3.7%","±0.2"
